"","Estrato","TotUMPreal","SumYi","SumAi","SumYi2","SumYiAi","SumAi2","PromAi","madmex_05","inegi_s4","f","EstRasonHa","VarEstRasonHa","U"
"22","PAST",5272,6963.794639301,3293.44,24054.4016313661,4401.75263890224,2082.6112,0.624704097116844,32241566.6037388,30988044.8247185,0.000163515627661487,2.11444405827979,0.00135998007443657,3.41842569722536
"23","SC_BajaMat_Sub",4140,7530.799201175,2413.72,23653.6331858068,4533.31535626144,1464.2704,0.583024154589372,10808794.091653,9991767.74995932,0.000383021451319632,3.11999701753932,0.00165089334760942,2.55247443651771
"24","SC_Med_Sub",3666,13707.36029452,2267.36,78669.0763076684,8680.27599403456,1428.736,0.61848336061102,3284532.60819877,3768188.78835709,0.00111614054031585,6.04551561927528,0.00504024911156952,2.30170003688078
"25","SC_Secun",5012,8648.807486136,2976.2,32745.5683336159,5381.20042776752,1844.4464,0.593814844373504,7972961.8519755,8186929.9281975,0.0006286246056424,2.90599001617364,0.00192359590362954,2.95814102998188
"26","SP_Alta_Sub",152,934.011594502,87.88,9166.82152161051,591.04987635104,54.0944,0.578157894736842,140855.240387983,145202.477488068,0.00107912208009669,10.6282612027993,0.353323493615237,10.9617554795557
"27","SP_AltaMed",2074,7442.719679642,1131.24,55796.7019902577,4518.4132966264,678.472,0.545438765670203,2423850.00575436,2341833.36841353,0.000855663508499372,6.57925787599625,0.0200829665541363,4.2217556650496
"28","SP_BajaMed_Sub",7188,40885.783388504,4538.24,319532.166169818,26101.0722394468,2887.6192,0.631363383416806,5619495.21760099,5635319.28433754,0.00127911844777201,9.00917170279756,0.00405488470898735,1.3853530416786
"29","SP_MangPet",769,1306.241034789,451.68,7503.97575161984,820.96481918396,278.9152,0.587360208062419,907748.921526312,915005.62153357,0.000847150552056822,2.89196119994022,0.024952003565718,10.7057308653301
"30","SP_MesoBaja",1347,6126.565373123,675.36,54045.8244624712,3476.36264606516,378.8096,0.501380846325167,1378768.0854937,1338633.92643427,0.000976959079755371,9.07155498270996,0.0485452214727034,4.76044528151281
"31","SP_Secun",1963,4302.532733618,1076.48,22060.9311091663,2597.28442163416,645.2928,0.548385124808966,1915718.7034914,2735056.47988649,0.0010246807093455,3.99685338661006,0.0100115399201468,4.90668632646527
"32","SVA",11,5.757177718,2.92,7.14866369709734,1.47512487008,0.9488,0.265454545454545,1122261.31470218,998581.18640792,9.80163875907914e-06,1.97163620479452,0.647650070601186,80.0017515571606
"33","V_Cost",7,3.24504656,1.76,9.98544486021613,1.53002287424,0.5376,0.251428571428571,173058.734266644,153780.240165302,4.04486952343856e-05,1.84377645454545,2.32411796042286,162.060393898017
"34","V_Desert",4,0.021087162,0.96,0.000444668401214244,0.01012183776,0.3072,0.24,2225748.42531843,2157591.51852057,1.79714830054422e-06,0.02196579375,0.000214442323533556,130.666549252925
"35","V_GipHalXer",47,0.732941003,12.96,0.0848713566635164,0.23227180048,4.224,0.275744680851064,3019735.3579608,2549688.46110137,1.55642778020583e-05,0.0565540897376543,0.000438647044035402,72.5854641477682
"36","V_HalHid",12,1.723166829,2.52,0.855691509325246,0.48087031284,0.7152,0.21,518742.005678674,380106.977585455,2.31328866153808e-05,0.683796360714286,0.091468400586323,86.6891668025813
