"","DinEstFE","S2_S3_p","Areas","DinamicaG","Dinamica","EstratoFE","Estrato","n","FE","U","AreasAnualizada","EmisAbs","U_DA","U_FE_DA","Ui2_Ai2"
"259","TF-PRA -- BE/S","BE/S - P",27535,"DEFORESTACION PRADERA","TF-PRA","BE/S","BE/S",1466,14.7,4.9,6883.75,101191.125,0,4.9,245853847128.163
"260","TF-PRA -- BE/S","BE/S - MXnL/P",11,"DEFORESTACION PRADERA","TF-PRA","BE/S","BE/S",1466,14.7,4.9,2.75,40.425,0,4.9,39236.67680625
"261","TF-PRA -- BM/P","BM/P - P",3352,"DEFORESTACION PRADERA","TF-PRA","BM/P","BM/P",357,37.7,9.9,838,31592.6,0,9.9,97823033650.2276
"262","TF-PRA -- BM/S","BM/S - P",1710,"DEFORESTACION PRADERA","TF-PRA","BM/S","BM/S",160,18.1,19,427.5,7737.75,0,19,21614071797.5625
"263","TF-PRA -- EOTL/P","EOTL/P - MXnL/P",1608,"DEFORESTACION PRADERA","TF-PRA","EOTL/P","EOTL/P",32,3.5,95.1,402,1407,0,95.1,17903965352.49
"264","TF-PRA -- EOTL/P","EOTL/P - P",758,"DEFORESTACION PRADERA","TF-PRA","EOTL/P","EOTL/P",32,3.5,95.1,189.5,663.25,0,95.1,3978465086.25562
"265","TF-PRA -- EOTL/P","EOTL/P - MXnL/S",48,"DEFORESTACION PRADERA","TF-PRA","EOTL/P","EOTL/P",32,3.5,95.1,12,42,0,95.1,15953633.64
"266","TF-PRA -- EOTL/P","EOTL/P - VHnL/P",23,"DEFORESTACION PRADERA","TF-PRA","EOTL/P","EOTL/P",32,3.5,95.1,5.75,20.125,0,95.1,3662965.36265625
"267","TF-PRA -- EOTL/S","EOTL/S - P",965,"DEFORESTACION PRADERA","TF-PRA","EOTL/S","EOTL/S",31,4.6,55.8,241.25,1109.75,0,55.8,3834587968.4025
"268","TF-PRA -- EOTL/S","EOTL/S - MXnL/P",46,"DEFORESTACION PRADERA","TF-PRA","EOTL/S","EOTL/S",31,4.6,55.8,11.5,52.9,0,55.8,8713241.3124
"269","TF-PRA -- EOTL/S","EOTL/S - MXnL/S",23,"DEFORESTACION PRADERA","TF-PRA","EOTL/S","EOTL/S",31,4.6,55.8,5.75,26.45,0,55.8,2178310.3281
"270","TF-PRA -- EOTnL/P",NA,NA,NA,NA,NA,"EOTnL/P",3,NA,NA,NA,NA,0,NA,NA
"271","TF-PRA -- MXL/P","MXL/P - VHnL/P",1,"DEFORESTACION PRADERA","TF-PRA","MXL/P","MXL/P",1484,4.3,8.9,0.25,1.075,0,8.9,91.53705625
"272","TF-PRA -- MXL/P","MXL/P - MXnL/S",461,"DEFORESTACION PRADERA","TF-PRA","MXL/P","MXL/P",1484,4.3,8.9,115.25,495.575,0,8.9,19453546.7313063
"273","TF-PRA -- MXL/P","MXL/P - P",110394,"DEFORESTACION PRADERA","TF-PRA","MXL/P","MXL/P",1484,4.3,8.9,27598.5,118673.55,0,8.9,1115547022507.21
"274","TF-PRA -- MXL/P","MXL/P - MXnL/P",21648,"DEFORESTACION PRADERA","TF-PRA","MXL/P","MXL/P",1484,4.3,8.9,5412,23271.6,0,8.9,42897551105.2176
"275","TF-PRA -- MXL/S","MXL/S - MXnL/S",73,"DEFORESTACION PRADERA","TF-PRA","MXL/S","MXL/S",198,3.2,28.8,18.25,58.4,0,28.8,2828854.8864
"276","TF-PRA -- MXL/S","MXL/S - P",51761,"DEFORESTACION PRADERA","TF-PRA","MXL/S","MXL/S",198,3.2,28.8,12940.25,41408.8,0,28.8,1422231409793.43
"277","TF-PRA -- MXL/S","MXL/S - VHnL/P",417,"DEFORESTACION PRADERA","TF-PRA","MXL/S","MXL/S",198,3.2,28.8,104.25,333.6,0,28.8,92307514.9824
"278","TF-PRA -- MXL/S","MXL/S - MXnL/P",249,"DEFORESTACION PRADERA","TF-PRA","MXL/S","MXL/S",198,3.2,28.8,62.25,199.2,0,28.8,32912710.0416
"279","TF-PRA -- MXnL/P",NA,NA,NA,NA,NA,"MXnL/P",864,0.6,23.5,NA,NA,0,23.5,NA
"280","TF-PRA -- MXnL/S",NA,NA,NA,NA,NA,"MXnL/S",81,0.9,91.7,NA,NA,0,91.7,NA
"281","TF-PRA -- P",NA,NA,NA,NA,NA,"P",1806,3.3,12.6,NA,NA,0,12.6,NA
"282","TF-PRA -- SC/P","SC/P - P",97382,"DEFORESTACION PRADERA","TF-PRA","SC/P","SC/P",939,17.4,5.3,24345.5,423611.7,0,5.3,5040662645066.84
