"","DinEstFE","S2_S3_p","Areas","DinamicaG","Dinamica","EstratoFE","Estrato","n","FE","U","AreasAnualizada","EmisAbs","U_DA","U_FE_DA","Ui2_Ai2"
"246","TF-OU -- VHL/S","VHL/S - AGR_AN",53,"DEFORESTACION","TF-OU","VHL/S","VHL/S",17,6.09345440909091,45.9382936460084,13.25,80.7382709204546,0,45.9382936460084,13756520.7569406
"247","TF-OU -- VHL/S","VHL/S - AGR_PER",70,"DEFORESTACION","TF-OU","VHL/S","VHL/S",17,6.09345440909091,45.9382936460084,17.5,106.635452159091,0,45.9382936460084,23996778.8212919
"248","TF-OU -- VHL/S","VHL/S - OT",103,"DEFORESTACION","TF-OU","VHL/S","VHL/S",17,6.09345440909091,45.9382936460084,25.75,156.906451034091,0,45.9382936460084,51955474.7989971
"249","TF-PRA -- BC","BC - P",87,"DEFORESTACION PRADERA","TF-PRA","BC","BC",8,40.6042812946429,27.9996186502621,21.75,883.143118158483,0,27.9996186502621,611457689.44661
"250","TF-PRA -- BCO/P","BCO/P - P",15146,"DEFORESTACION PRADERA","TF-PRA","BCO/P","BCO/P",4404,32.6057231448036,1.45042451852079,3786.5,123461.570687799,0,1.45042451852079,32066669880.3446
"251","TF-PRA -- BCO/P","BCO/P - MXnL/S",78,"DEFORESTACION PRADERA","TF-PRA","BCO/P","BCO/P",4404,32.6057231448036,1.45042451852079,19.5,635.81160132367,0,1.45042451852079,850446.819372286
"252","TF-PRA -- BCO/P","BCO/P - MXnL/P",899,"DEFORESTACION PRADERA","TF-PRA","BCO/P","BCO/P",4404,32.6057231448036,1.45042451852079,224.75,7328.13627679461,0,1.45042451852079,112973696.558761
"253","TF-PRA -- BCO/S","BCO/S - MXnL/P",4550,"DEFORESTACION PRADERA","TF-PRA","BCO/S","BCO/S",1137,21.4545557588627,3.33693546130825,1137.5,24404.5571757063,0,3.33693546130825,6631892498.77161
"254","TF-PRA -- BCO/S","BCO/S - P",10008,"DEFORESTACION PRADERA","TF-PRA","BCO/S","BCO/S",1137,21.4545557588627,3.33693546130825,2502,53679.2985086745,0,3.33693546130825,32085534458.0647
"255","TF-PRA -- BCO/S","BCO/S - MXnL/S",2,"DEFORESTACION PRADERA","TF-PRA","BCO/S","BCO/S",1137,21.4545557588627,3.33693546130825,0.5,10.7272778794313,0,3.33693546130825,1281.3703656605
"256","TF-PRA -- BE/P","BE/P - MXnL/P",20298,"DEFORESTACION PRADERA","TF-PRA","BE/P","BE/P",3365,19.9492071801897,1.79149049627085,5074.5,101232.251835873,0,1.79149049627085,32890222558.7246
"257","TF-PRA -- BE/P","BE/P - P",22116,"DEFORESTACION PRADERA","TF-PRA","BE/P","BE/P",3365,19.9492071801897,1.79149049627085,5529,110299.166499269,0,1.79149049627085,39045723851.0787
"258","TF-PRA -- BE/S","BE/S - MXnL/S",284,"DEFORESTACION PRADERA","TF-PRA","BE/S","BE/S",1466,14.2802809200292,3.25283035506271,71,1013.89994532207,0,3.25283035506271,10877097.6502298
"259","TF-PRA -- BE/S","BE/S - P",27535,"DEFORESTACION PRADERA","TF-PRA","BE/S","BE/S",1466,14.2802809200292,3.25283035506271,6883.75,98301.883783251,0,3.25283035506271,102246042890.89
"260","TF-PRA -- BE/S","BE/S - MXnL/P",11,"DEFORESTACION PRADERA","TF-PRA","BE/S","BE/S",1466,14.2802809200292,3.25283035506271,2.75,39.2707725300803,0,3.25283035506271,16317.8042015201
"261","TF-PRA -- BM/P","BM/P - P",3352,"DEFORESTACION PRADERA","TF-PRA","BM/P","BM/P",357,37.9234862982533,6.61535247762643,838,31779.8815179363,0,6.61535247762643,44198804814.5536
"262","TF-PRA -- BM/S","BM/S - P",1710,"DEFORESTACION PRADERA","TF-PRA","BM/S","BM/S",160,17.9578040822785,13.7061316971768,427.5,7676.96124517406,0,13.7061316971768,11071551827.198
"263","TF-PRA -- EOTL/P","EOTL/P - MXnL/P",1608,"DEFORESTACION PRADERA","TF-PRA","EOTL/P","EOTL/P",32,8.46207458536585,43.6481835145216,402,3401.75398331707,0,43.6481835145216,22046423878.9789
"264","TF-PRA -- EOTL/P","EOTL/P - P",758,"DEFORESTACION PRADERA","TF-PRA","EOTL/P","EOTL/P",32,8.46207458536585,43.6481835145216,189.5,1603.56313392683,0,43.6481835145216,4898966567.04105
"265","TF-PRA -- EOTL/P","EOTL/P - MXnL/S",48,"DEFORESTACION PRADERA","TF-PRA","EOTL/P","EOTL/P",32,8.46207458536585,43.6481835145216,12,101.54489502439,0,43.6481835145216,19644841.950527
"266","TF-PRA -- EOTL/P","EOTL/P - VHnL/P",23,"DEFORESTACION PRADERA","TF-PRA","EOTL/P","EOTL/P",32,8.46207458536585,43.6481835145216,5.75,48.6569288658536,0,43.6481835145216,4510469.35409235
"267","TF-PRA -- EOTL/S","EOTL/S - P",965,"DEFORESTACION PRADERA","TF-PRA","EOTL/S","EOTL/S",31,5.672673675,26.355018701636,241.25,1368.53252409375,0,26.355018701636,1300879002.49878
"268","TF-PRA -- EOTL/S","EOTL/S - MXnL/P",46,"DEFORESTACION PRADERA","TF-PRA","EOTL/S","EOTL/S",31,5.672673675,26.355018701636,11.5,65.2357472625,0,26.355018701636,2955955.83160614
"269","TF-PRA -- EOTL/S","EOTL/S - MXnL/S",23,"DEFORESTACION PRADERA","TF-PRA","EOTL/S","EOTL/S",31,5.672673675,26.355018701636,5.75,32.61787363125,0,26.355018701636,738988.957901535
