folio,sitio,tipificacion,carbono_arboles
1415,2,Monitoreo,NULL
1415,3,Monitoreo,NULL
1415,4,Monitoreo,NULL
1417,1,Monitoreo,NULL
1417,2,Monitoreo,NULL
1417,3,Monitoreo,NULL
1417,4,Monitoreo,NULL
1419,1,Inicial,0
1419,2,Inicial,0.0113062
1419,3,Inicial,0
1419,4,Inicial,0
1421,1,Inicial,0
1421,2,Inicial,0
1421,3,Inicial,0.03340766
1421,4,Inicial,0.3466681
1423,1,Monitoreo,NULL
1423,2,Monitoreo,NULL
1423,3,Monitoreo,NULL
1423,4,Monitoreo,NULL
1468,1,Reemplazo,0.1276924
1468,2,Reemplazo,0.00791824
1468,3,Reemplazo,0.0319231
1468,4,Reemplazo,0
1474,1,Inicial,0
1474,2,Inicial,0.00920193
1474,3,Inicial,0.0152989
1474,4,Inicial,0.00561452
1476,1,Inicial,0
1476,2,Inicial,0
1476,3,Inicial,0
1476,4,Inicial,0
1549,1,Reemplazo,0
1549,2,Reemplazo,0
1549,3,Reemplazo,0
1549,4,Reemplazo,0
1551,1,Inicial,0
1551,2,Inicial,0
1551,3,Inicial,0
1551,4,Inicial,0
1553,1,Monitoreo,NULL
1553,2,Monitoreo,NULL
1553,3,Monitoreo,NULL
1553,4,Monitoreo,NULL
1557,1,Monitoreo,NULL
1557,2,Monitoreo,NULL
1557,3,Monitoreo,NULL
1557,4,Monitoreo,NULL
1559,1,Reemplazo,0
1559,2,Reemplazo,0
1559,3,Reemplazo,0
1559,4,Reemplazo,0
1561,1,Reemplazo,0
1561,2,Reemplazo,0
1561,3,Reemplazo,0
1561,4,Reemplazo,0
1563,1,Inicial,0
1563,2,Inicial,0
1563,3,Inicial,0
1563,4,Inicial,0
1565,1,Inicial,0
1565,2,Inicial,0
1565,3,Inicial,0
1565,4,Inicial,0
1569,1,Monitoreo,NULL
1569,2,Monitoreo,NULL
1569,3,Monitoreo,NULL
1569,4,Monitoreo,NULL
1573,1,Inicial,0
1573,2,Inicial,0
1573,3,Inicial,0
1573,4,Inicial,0
1577,1,Monitoreo,NULL
1577,2,Monitoreo,NULL
1577,3,Monitoreo,NULL
1577,4,Monitoreo,NULL
1581,1,Inicial,0
1581,2,Inicial,0
1581,3,Inicial,0
1581,4,Inicial,0
1584,1,Inicial,0
1584,2,Inicial,0
1584,3,Inicial,0
1584,4,Inicial,0
1588,1,Inicial,0
1588,2,Inicial,0
1588,3,Inicial,0
1588,4,Inicial,0
1592,1,Inicial,0
1592,2,Inicial,0
1592,3,Inicial,0
1592,4,Inicial,0
1594,1,Inicial,0
1594,2,Inicial,0.012827
1594,3,Inicial,0
1594,4,Inicial,0
1596,1,Inicial,0
1596,2,Inicial,0
1596,3,Inicial,0
1596,4,Inicial,0
1600,1,Inicial,0.04390005
1600,2,Inicial,0.09244717
1600,3,Inicial,0.0319231
1600,4,Inicial,0.07054731
1604,1,Inicial,0.01780649
1604,2,Inicial,0.00933503
1604,3,Inicial,0
1604,4,Inicial,0.01987333
1608,1,Monitoreo,NULL
1608,2,Monitoreo,NULL
1608,3,Monitoreo,NULL
1608,4,Monitoreo,NULL
1612,1,Inicial,0.0119989
1612,2,Inicial,0.0127606
1612,3,Inicial,0
1612,4,Inicial,0.01666772
1682,1,Inicial,0
1682,2,Inicial,0
1682,3,Inicial,0
1682,4,Inicial,0
1684,1,Reemplazo,0
1684,2,Reemplazo,0
1684,3,Reemplazo,0
1684,4,Reemplazo,0
1686,1,Inicial,0
1686,2,Inicial,0
1686,3,Inicial,0
1686,4,Inicial,0
1688,1,Reemplazo,0
1688,2,Reemplazo,0
1688,3,Reemplazo,0
1688,4,Reemplazo,0
1690,1,Inicial,0
1690,2,Inicial,0.00884889
1690,3,Inicial,0
1690,4,Inicial,0.0142446
1721,1,Reemplazo,0
1721,2,Reemplazo,0
1721,3,Reemplazo,0.0200906
1721,4,Reemplazo,0
1857,1,Inicial,0
1857,2,Inicial,0
1857,3,Inicial,0
1857,4,Inicial,0
1861,1,Reemplazo,0
1861,2,Reemplazo,0
1861,3,Reemplazo,0
1861,4,Reemplazo,0
1863,1,Inicial,0
1863,2,Inicial,0
1863,3,Inicial,0
1863,4,Inicial,0
1865,1,Monitoreo,NULL
1865,2,Monitoreo,NULL
1865,3,Monitoreo,NULL
1865,4,Monitoreo,NULL
1867,1,Reemplazo,0
1867,2,Reemplazo,0
1867,3,Reemplazo,0
1867,4,Reemplazo,0
1869,1,Inicial,0
1869,2,Inicial,0
1869,3,Inicial,0
1869,4,Inicial,0
1871,1,Reemplazo,0.03069078
1871,2,Reemplazo,0.0941774
1871,3,Reemplazo,0
1871,4,Reemplazo,0.08204135
1873,1,Monitoreo,NULL
1873,2,Monitoreo,NULL
1873,3,Monitoreo,NULL
1873,4,Monitoreo,NULL
1877,1,Inicial,0
1877,2,Inicial,0
1877,3,Inicial,0
1877,4,Inicial,0
1881,1,Inicial,0
1881,2,Inicial,0.00514693
1881,3,Inicial,0.01694403
1881,4,Inicial,0.02286874
1885,1,Inicial,0
1885,2,Inicial,0
1885,3,Inicial,0
1885,4,Inicial,0
1889,1,Inicial,0
1889,2,Inicial,0
1889,3,Inicial,0
1889,4,Inicial,0
1893,1,Inicial,0
1893,2,Inicial,0
1893,3,Inicial,0
1893,4,Inicial,0
1897,1,Inicial,0
1897,2,Inicial,0
1897,3,Inicial,0
1897,4,Inicial,0
1901,1,Reemplazo,0
1901,2,Reemplazo,0.0420994
1901,3,Reemplazo,0.0319231
1901,4,Reemplazo,0
1905,1,Inicial,0.00666738
1905,2,Inicial,0.0638462
1905,3,Inicial,0
1905,4,Inicial,0.0080712
1907,1,Inicial,0
1907,2,Inicial,0.005153
1907,3,Inicial,0
1907,4,Inicial,0
1909,1,Inicial,0
1909,2,Inicial,0.00597961
1909,3,Inicial,0
1909,4,Inicial,0
1913,1,Inicial,0
1913,2,Inicial,0.01488049
1913,3,Inicial,0
1913,4,Inicial,0.00921417
1917,1,Monitoreo,NULL
1917,2,Monitoreo,NULL
1917,3,Monitoreo,NULL
1917,4,Monitoreo,NULL
1921,1,Monitoreo,NULL
1921,2,Monitoreo,NULL
1921,3,Monitoreo,NULL
1921,4,Monitoreo,NULL
1924,1,Inicial,0
1924,2,Inicial,0
1924,3,Inicial,0
1924,4,Inicial,0
1928,1,Inicial,0
1928,2,Inicial,0
1928,3,Inicial,0
1928,4,Inicial,0
1932,1,Monitoreo,NULL
1932,2,Monitoreo,NULL
1932,3,Monitoreo,NULL
1932,4,Monitoreo,NULL
1936,1,Monitoreo,NULL
1936,2,Monitoreo,NULL
