"","DinEstFE","S2_S3_p","Areas","DinamicaG","Dinamica","EstratoFE","Estrato","n","FE","U","AreasAnualizada","EmisAbs","U_DA","U_FE_DA","Ui2_Ai2"
"324","TF-TF -- BCO/P","SSC/P - BCO/P",5,"PERMANENCIA","TF-TF","BCO/P","BCO/P",3190,-0.43,25,5,-2.15,0,25,2889.0625
"325","TF-TF -- BCO/P","SC/P - BCO/P",160,"PERMANENCIA","TF-TF","BCO/P","BCO/P",3190,-0.43,25,160,-68.8,0,25,2958400
"326","TF-TF -- BCO/S","SC/P - BCO/S",1,"PERMANENCIA","TF-TF","BCO/S","BCO/S",780,-0.3,57,1,-0.3,0,57,292.41
"327","TF-TF -- BCO/S","BE/P - BCO/S",8346,"PERMANENCIA","TF-TF","BCO/S","BCO/S",780,-0.3,57,8346,-2503.8,0,57,20368027915.56
"328","TF-TF -- BCO/S","SSC/P - BCO/S",1,"PERMANENCIA","TF-TF","BCO/S","BCO/S",780,-0.3,57,1,-0.3,0,57,292.41
"329","TF-TF -- BCO/S","MXL/P - BCO/S",2138,"PERMANENCIA","TF-TF","BCO/S","BCO/S",780,-0.3,57,2138,-641.4,0,57,1336618976.04
"330","TF-TF -- BCO/S","BE/S - BCO/S",1271,"PERMANENCIA","TF-TF","BCO/S","BCO/S",780,-0.3,57,1271,-381.3,0,57,472371102.81
"331","TF-TF -- BCO/S","SC/S - BCO/S",545,"PERMANENCIA","TF-TF","BCO/S","BCO/S",780,-0.3,57,545,-163.5,0,57,86853080.25
"332","TF-TF -- BCO/S","BM/P - BCO/S",16,"PERMANENCIA","TF-TF","BCO/S","BCO/S",780,-0.3,57,16,-4.8,0,57,74856.96
"333","TF-TF -- BCO/S","BCO/S - BCO/S",3843990,"PERMANENCIA","TF-TF","BCO/S","BCO/S",780,-0.3,57,3843990,-1153197,0,57,4320725929308441
"334","TF-TF -- BCO/S","MXL/S - BCO/S",3,"PERMANENCIA","TF-TF","BCO/S","BCO/S",780,-0.3,57,3,-0.9,0,57,2631.69
"335","TF-TF -- BE/P","SC/S - BE/P",1908,"PERMANENCIA","TF-TF","BE/P","BE/P",2330,-0.46,19,1908,-877.68,0,19,278086307.8464
"336","TF-TF -- BE/P","MXL/S - BE/P",234,"PERMANENCIA","TF-TF","BE/P","BE/P",2330,-0.46,19,234,-107.64,0,19,4182679.4256
"337","TF-TF -- BE/P","MXL/P - BE/P",9287,"PERMANENCIA","TF-TF","BE/P","BE/P",2330,-0.46,19,9287,-4272.02,0,19,6588305911.8244
"338","TF-TF -- BE/P","SP/P - BE/P",27,"PERMANENCIA","TF-TF","BE/P","BE/P",2330,-0.46,19,27,-12.42,0,19,55686.5604
"339","TF-TF -- BE/P","SP/S - BE/P",123,"PERMANENCIA","TF-TF","BE/P","BE/P",2330,-0.46,19,123,-56.58,0,19,1155668.0004
"340","TF-TF -- BE/P","BM/P - BE/P",64,"PERMANENCIA","TF-TF","BE/P","BE/P",2330,-0.46,19,64,-29.44,0,19,312883.6096
"341","TF-TF -- BE/P","BCO/S - BE/P",744,"PERMANENCIA","TF-TF","BE/P","BE/P",2330,-0.46,19,744,-342.24,0,19,42283286.5536
"342","TF-TF -- BE/P","SC/P - BE/P",6847,"PERMANENCIA","TF-TF","BE/P","BE/P",2330,-0.46,19,6847,-3149.62,0,19,3581158318.1284
"343","TF-TF -- BE/P","BE/P - BE/P",10567802,"PERMANENCIA","TF-TF","BE/P","BE/P",2330,-0.46,19,10567802,-4861188.92,0,19,8530847935451007
"344","TF-TF -- BE/P","SSC/S - BE/P",103,"PERMANENCIA","TF-TF","BE/P","BE/P",2330,-0.46,19,103,-47.38,0,19,810396.0484
"345","TF-TF -- BE/P","EOTL/S - BE/P",24,"PERMANENCIA","TF-TF","BE/P","BE/P",2330,-0.46,19,24,-11.04,0,19,43999.2576
"346","TF-TF -- BE/P","EOTL/P - BE/P",3077,"PERMANENCIA","TF-TF","BE/P","BE/P",2330,-0.46,19,3077,-1415.42,0,19,723232373.2804
"347","TF-TF -- BE/P","SSC/P - BE/P",377,"PERMANENCIA","TF-TF","BE/P","BE/P",2330,-0.46,19,377,-173.42,0,19,10856893.2004
"348","TF-TF -- BE/P","BCO/P - BE/P",9452,"PERMANENCIA","TF-TF","BE/P","BE/P",2330,-0.46,19,9452,-4347.92,0,19,6824491405.8304
"349","TF-TF -- BE/S","SC/S - BE/S",6363,"PERMANENCIA","TF-TF","BE/S","BE/S",1037,-0.48,24,6363,-3054.24,0,24,5373148019.0976
"350","TF-TF -- BE/S","SP/S - BE/S",344,"PERMANENCIA","TF-TF","BE/S","BE/S",1037,-0.48,24,344,-165.12,0,24,15704417.8944
"351","TF-TF -- BE/S","MXL/P - BE/S",725,"PERMANENCIA","TF-TF","BE/S","BE/S",1037,-0.48,24,725,-348,0,24,69755904
"352","TF-TF -- BE/S","BCO/P - BE/S",1008,"PERMANENCIA","TF-TF","BE/S","BE/S",1037,-0.48,24,1008,-483.84,0,24,134842259.8656
"353","TF-TF -- BE/S","BE/S - BE/S",4808782,"PERMANENCIA","TF-TF","BE/S","BE/S",1037,-0.48,24,4808782,-2308215.36,0,24,3068846293328600
"354","TF-TF -- BE/S","SSC/S - BE/S",102,"PERMANENCIA","TF-TF","BE/S","BE/S",1037,-0.48,24,102,-48.96,0,24,1380719.0016
"355","TF-TF -- BE/S","SC/P - BE/S",1236,"PERMANENCIA","TF-TF","BE/S","BE/S",1037,-0.48,24,1236,-593.28,0,24,202741147.2384
"356","TF-TF -- BE/S","BCO/S - BE/S",8895,"PERMANENCIA","TF-TF","BE/S","BE/S",1037,-0.48,24,8895,-4269.6,0,24,10500182876.16
"357","TF-TF -- BE/S","SSC/P - BE/S",17,"PERMANENCIA","TF-TF","BE/S","BE/S",1037,-0.48,24,17,-8.16,0,24,38353.3056
"358","TF-TF -- BM/P","BCO/P - BM/P",641,"PERMANENCIA","TF-TF","BM/P","BM/P",245,-1.46,52,641,-935.86,0,52,2368254972.6784
"359","TF-TF -- BM/P","BM/P - BM/P",1292929,"PERMANENCIA","TF-TF","BM/P","BM/P",245,-1.46,52,1292929,-1887676.34,0,52,9635222592267030
"360","TF-TF -- BM/P","SSC/S - BM/P",1,"PERMANENCIA","TF-TF","BM/P","BM/P",245,-1.46,52,1,-1.46,0,52,5763.8464
"361","TF-TF -- BM/P","BE/S - BM/P",58,"PERMANENCIA","TF-TF","BM/P","BM/P",245,-1.46,52,58,-84.68,0,52,19389579.2896
"362","TF-TF -- BM/P","SP/S - BM/P",42,"PERMANENCIA","TF-TF","BM/P","BM/P",245,-1.46,52,42,-61.32,0,52,10167425.0496
"363","TF-TF -- BM/P","SP/P - BM/P",38,"PERMANENCIA","TF-TF","BM/P","BM/P",245,-1.46,52,38,-55.48,0,52,8322994.2016
"364","TF-TF -- BM/P","BCO/S - BM/P",31,"PERMANENCIA","TF-TF","BM/P","BM/P",245,-1.46,52,31,-45.26,0,52,5539056.3904
"365","TF-TF -- BM/P","BE/P - BM/P",158,"PERMANENCIA","TF-TF","BM/P","BM/P",245,-1.46,52,158,-230.68,0,52,143888661.5296
"366","TF-TF -- BM/P","MXL/P - BM/P",2764,"PERMANENCIA","TF-TF","BM/P","BM/P",245,-1.46,52,2764,-4035.44,0,52,44034034286.6944
"367","TF-TF -- BM/P","SSC/P - BM/P",12485,"PERMANENCIA","TF-TF","BM/P","BM/P",245,-1.46,52,12485,-18228.1,0,52,898440854465.44
"368","TF-TF -- BM/S","BM/S - BM/S",527396,"PERMANENCIA","TF-TF","BM/S","BM/S",102,-0.3,228,527396,-158218.8,0,228,1301325280000105
"369","TF-TF -- BM/S","BCO/P - BM/S",236,"PERMANENCIA","TF-TF","BM/S","BM/S",102,-0.3,228,236,-70.8,0,228,260577077.76
"370","TF-TF -- BM/S","SP/S - BM/S",1,"PERMANENCIA","TF-TF","BM/S","BM/S",102,-0.3,228,1,-0.3,0,228,4678.56
"371","TF-TF -- BM/S","SSC/P - BM/S",80,"PERMANENCIA","TF-TF","BM/S","BM/S",102,-0.3,228,80,-24,0,228,29942784
"372","TF-TF -- BM/S","BCO/S - BM/S",133,"PERMANENCIA","TF-TF","BM/S","BM/S",102,-0.3,228,133,-39.9,0,228,82759047.84
"373","TF-TF -- EOTL/P","SSC/S - EOTL/P",72,"PERMANENCIA","TF-TF","EOTL/P","EOTL/P",22,0.41,-311,72,29.52,0,311,84285619.7184
"374","TF-TF -- EOTL/P","SSC/P - EOTL/P",71,"PERMANENCIA","TF-TF","EOTL/P","EOTL/P",22,0.41,-311,71,29.11,0,311,81960611.3041
"375","TF-TF -- EOTL/P","MXL/S - EOTL/P",184,"PERMANENCIA","TF-TF","EOTL/P","EOTL/P",22,0.41,-311,184,75.44,0,311,550457936.1856
"376","TF-TF -- EOTL/P","MXL/P - EOTL/P",14,"PERMANENCIA","TF-TF","EOTL/P","EOTL/P",22,0.41,-311,14,5.74,0,311,3186724.8196
"377","TF-TF -- EOTL/P","EOTL/P - EOTL/P",248185,"PERMANENCIA","TF-TF","EOTL/P","EOTL/P",22,0.41,-311,248185,101755.85,0,311,1001473705305009
"378","TF-TF -- EOTL/P","MXnL/P - EOTL/P",4190,"PERMANENCIA","TF-TF","EOTL/P","EOTL/P",22,0.41,-311,4190,1717.9,0,311,285441120435.61
"379","TF-TF -- EOTL/S","SC/S - EOTL/S",185,"PERMANENCIA","TF-TF","EOTL/S","EOTL/S",28,-0.09,193,185,-16.65,0,193,10326260.9025
"380","TF-TF -- EOTL/S","MXL/P - EOTL/S",3,"PERMANENCIA","TF-TF","EOTL/S","EOTL/S",28,-0.09,193,3,-0.27,0,193,2715.4521
"381","TF-TF -- EOTL/S","BE/S - EOTL/S",28,"PERMANENCIA","TF-TF","EOTL/S","EOTL/S",28,-0.09,193,28,-2.52,0,193,236546.0496
"382","TF-TF -- EOTL/S","EOTL/S - EOTL/S",149829,"PERMANENCIA","TF-TF","EOTL/S","EOTL/S",28,-0.09,193,149829,-13484.61,0,193,6773160995533.87
"383","TF-TF -- EOTL/S","BCO/P - EOTL/S",216,"PERMANENCIA","TF-TF","EOTL/S","EOTL/S",28,-0.09,193,216,-19.44,0,193,14076903.6864
"384","TF-TF -- MXL/P","EOTL/P - MXL/P",8608,"PERMANENCIA","TF-TF","MXL/P","MXL/P",1116,0.15,-51,8608,1291.2,0,51,4336380541.44
"385","TF-TF -- MXL/P","BCO/S - MXL/P",301,"PERMANENCIA","TF-TF","MXL/P","MXL/P",1116,0.15,-51,301,45.15,0,51,5302197.0225
"386","TF-TF -- MXL/P","SC/S - MXL/P",127,"PERMANENCIA","TF-TF","MXL/P","MXL/P",1116,0.15,-51,127,19.05,0,51,943909.4025
"387","TF-TF -- MXL/P","SC/P - MXL/P",1075,"PERMANENCIA","TF-TF","MXL/P","MXL/P",1116,0.15,-51,1075,161.25,0,51,67630064.0625
"388","TF-TF -- MXL/P","MXL/P - MXL/P",18107388,"PERMANENCIA","TF-TF","MXL/P","MXL/P",1116,0.15,-51,18107388,2716108.2,0,51,19188211004432928
"389","TF-TF -- MXL/P","BCO/P - MXL/P",1126,"PERMANENCIA","TF-TF","MXL/P","MXL/P",1116,0.15,-51,1126,168.9,0,51,74199273.21
"390","TF-TF -- MXL/P","EOTL/S - MXL/P",1,"PERMANENCIA","TF-TF","MXL/P","MXL/P",1116,0.15,-51,1,0.15,0,51,58.5225
"391","TF-TF -- MXL/P","BE/P - MXL/P",2022,"PERMANENCIA","TF-TF","MXL/P","MXL/P",1116,0.15,-51,2022,303.3,0,51,239268304.89
"392","TF-TF -- MXL/P","BE/S - MXL/P",468,"PERMANENCIA","TF-TF","MXL/P","MXL/P",1116,0.15,-51,468,70.2,0,51,12817832.04
"393","TF-TF -- MXL/P","VHL/P - MXL/P",507,"PERMANENCIA","TF-TF","MXL/P","MXL/P",1116,0.15,-51,507,76.05,0,51,15043150.1025
"394","TF-TF -- MXL/S","BE/S - MXL/S",199,"PERMANENCIA","TF-TF","MXL/S","MXL/S",129,-0.04,324,199,-7.96,0,324,6651447.3216
"395","TF-TF -- MXL/S","BCO/P - MXL/S",653,"PERMANENCIA","TF-TF","MXL/S","MXL/S",129,-0.04,324,653,-26.12,0,324,71620337.8944
"396","TF-TF -- MXL/S","SC/S - MXL/S",2018,"PERMANENCIA","TF-TF","MXL/S","MXL/S",129,-0.04,324,2018,-80.72,0,324,683994054.7584
"397","TF-TF -- MXL/S","BC - MXL/S",649,"PERMANENCIA","TF-TF","MXL/S","MXL/S",129,-0.04,324,649,-25.96,0,324,70745593.8816
"398","TF-TF -- MXL/S","SC/P - MXL/S",566,"PERMANENCIA","TF-TF","MXL/S","MXL/S",129,-0.04,324,566,-22.64,0,324,53807506.3296
"399","TF-TF -- MXL/S","MXL/S - MXL/S",2063100,"PERMANENCIA","TF-TF","MXL/S","MXL/S",129,-0.04,324,2063100,-82524,0,324,714908665426176
"400","TF-TF -- MXL/S","BE/P - MXL/S",136,"PERMANENCIA","TF-TF","MXL/S","MXL/S",129,-0.04,324,136,-5.44,0,324,3106617.7536
"401","TF-TF -- MXL/S","VHL/P - MXL/S",2,"PERMANENCIA","TF-TF","MXL/S","MXL/S",129,-0.04,324,2,-0.08,0,324,671.8464
"402","TF-TF -- MXL/S","VHL/S - MXL/S",201,"PERMANENCIA","TF-TF","MXL/S","MXL/S",129,-0.04,324,201,-8.04,0,324,6785816.6016
"403","TF-TF -- MXL/S","BCO/S - MXL/S",1,"PERMANENCIA","TF-TF","MXL/S","MXL/S",129,-0.04,324,1,-0.04,0,324,167.9616
"404","TF-TF -- SC/P","SC/P - SC/P",10564450,"PERMANENCIA","TF-TF","SC/P","SC/P",660,-0.41,48,10564450,-4331424.5,0,48,43225892810957376
"405","TF-TF -- SC/P","SSC/P - SC/P",16566,"PERMANENCIA","TF-TF","SC/P","SC/P",660,-0.41,48,16566,-6792.06,0,48,106288310116.454
"406","TF-TF -- SC/P","SP/P - SC/P",581,"PERMANENCIA","TF-TF","SC/P","SC/P",660,-0.41,48,581,-238.21,0,48,130738185.4464
"407","TF-TF -- SC/P","EOTL/P - SC/P",99,"PERMANENCIA","TF-TF","SC/P","SC/P",660,-0.41,48,99,-40.59,0,48,3795950.8224
"408","TF-TF -- SC/P","VHL/P - SC/P",607,"PERMANENCIA","TF-TF","SC/P","SC/P",660,-0.41,48,607,-248.87,0,48,142701181.9776
"409","TF-TF -- SC/P","BE/P - SC/P",1340,"PERMANENCIA","TF-TF","SC/P","SC/P",660,-0.41,48,1340,-549.4,0,48,695440189.44
"410","TF-TF -- SC/P","BCO/P - SC/P",55,"PERMANENCIA","TF-TF","SC/P","SC/P",660,-0.41,48,55,-22.55,0,48,1171589.76
"411","TF-TF -- SC/P","MXL/P - SC/P",1609,"PERMANENCIA","TF-TF","SC/P","SC/P",660,-0.41,48,1609,-659.69,0,48,1002679824.6144
"412","TF-TF -- SC/P","MXL/S - SC/P",749,"PERMANENCIA","TF-TF","SC/P","SC/P",660,-0.41,48,749,-307.09,0,48,217277033.7024
"413","TF-TF -- SC/P","BE/S - SC/P",546,"PERMANENCIA","TF-TF","SC/P","SC/P",660,-0.41,48,546,-223.86,0,48,115461042.2784
"414","TF-TF -- SC/P","SP/S - SC/P",134,"PERMANENCIA","TF-TF","SC/P","SC/P",660,-0.41,48,134,-54.94,0,48,6954401.8944
"415","TF-TF -- SC/P","VHL/S - SC/P",324,"PERMANENCIA","TF-TF","SC/P","SC/P",660,-0.41,48,324,-132.84,0,48,40657456.7424
"416","TF-TF -- SC/P","SSC/S - SC/P",7763,"PERMANENCIA","TF-TF","SC/P","SC/P",660,-0.41,48,7763,-3182.83,0,48,23340457287.7056
"417","TF-TF -- SC/S","VHL/P - SC/S",104,"PERMANENCIA","TF-TF","SC/S","SC/S",413,-0.66,35,104,-68.64,0,35,5771525.76
"418","TF-TF -- SC/S","VHL/S - SC/S",16,"PERMANENCIA","TF-TF","SC/S","SC/S",413,-0.66,35,16,-10.56,0,35,136604.16
"419","TF-TF -- SC/S","SSC/P - SC/S",1549,"PERMANENCIA","TF-TF","SC/S","SC/S",413,-0.66,35,1549,-1022.34,0,35,1280344367.61
"420","TF-TF -- SC/S","EOTL/P - SC/S",27,"PERMANENCIA","TF-TF","SC/S","SC/S",413,-0.66,35,27,-17.82,0,35,389001.69
"421","TF-TF -- SC/S","BCO/P - SC/S",171,"PERMANENCIA","TF-TF","SC/S","SC/S",413,-0.66,35,171,-112.86,0,35,15603290.01
"422","TF-TF -- SC/S","BCO/S - SC/S",299,"PERMANENCIA","TF-TF","SC/S","SC/S",413,-0.66,35,299,-197.34,0,35,47705267.61
"423","TF-TF -- SC/S","BE/P - SC/S",478,"PERMANENCIA","TF-TF","SC/S","SC/S",413,-0.66,35,478,-315.48,0,35,121921347.24
"424","TF-TF -- SC/S","SSC/S - SC/S",758,"PERMANENCIA","TF-TF","SC/S","SC/S",413,-0.66,35,758,-500.28,0,35,306593096.04
"425","TF-TF -- SC/S","SC/S - SC/S",6493061,"PERMANENCIA","TF-TF","SC/S","SC/S",413,-0.66,35,6493061,-4285420.26,0,35,22496912835902620
"426","TF-TF -- SC/S","BE/S - SC/S",644,"PERMANENCIA","TF-TF","SC/S","SC/S",413,-0.66,35,644,-425.04,0,35,221307276.96
